100,99,4016,1317
200,119,2651,1509
300,209,3002,1868
400,99761505,21074647,59863142
500,97807034,41016904,98767981
600,167947010,93872914,179861610
700,164851359,110259828,280103848
800,396063496,172119061,508307211
900,569451181,298691525,528134573
1000,784346706,363710725,803038928


100,98,3785,1312
200,118,2647,1367
300,210,3476,1838
400,102093339,17901939,44367134
500,98436085,34713470,84789085
600,167947010,62855275,146964769
700,265900457,90986734,241514586
800,395576527,134205870,354467118
900,577145442,205746086,482200840
1000,785939321,307003085,673300908


100,99,4365,1308
200,120,1997,1346
300,214,3497,1711
400,105588216,17837782,41711627
500,97397526,33836775,81606909
600,167273770,59226103,138422147
700,265426407,94021277,226854082
800,395498164,143233189,328658993
900,569336575,204324195,468827937
1000,796239772,288327130,654892840